card_id,verb_id,verb,tense_id,tense,person_id,person_grammatical,person_display,hypothetical_regular_form,conjugated_verb,regular,sentence,sentence_with_cloze
1_1_0,1,ser,1,infinitivo,0,NA,NA,ser,ser,TRUE,,
1_2_0,1,ser,2,gerundio,0,NA,NA,siendo,,,,
1_3_0,1,ser,3,participio,0,NA,NA,sido,,,,
1_4_11,1,ser,4,⊙ indicativo presente ⊙,11,1st_singular,yo,so,,,,
1_4_21,1,ser,4,⊙ indicativo presente ⊙,21,2nd_singular,tú,ses,,,,
1_4_31,1,ser,4,⊙ indicativo presente ⊙,31,3rd_singular,él/ella,se,,,,
1_4_12,1,ser,4,⊙ indicativo presente ⊙,12,1st_plural,nosotros,semos,,,,
1_4_32,1,ser,4,⊙ indicativo presente ⊙,32,3rd_plural,ellos/ellas,sen,,,,
1_5_11,1,ser,5,⇠ indicativo imperfecto ⇠,11,1st_singular,yo,sía,,,,
1_5_21,1,ser,5,⇠ indicativo imperfecto ⇠,21,2nd_singular,tú,sías,,,,
1_5_31,1,ser,5,⇠ indicativo imperfecto ⇠,31,3rd_singular,él/ella,sía,,,,
1_5_12,1,ser,5,⇠ indicativo imperfecto ⇠,12,1st_plural,nosotros,síamos,,,,
1_5_32,1,ser,5,⇠ indicativo imperfecto ⇠,32,3rd_plural,ellos/ellas,sían,,,,
1_6_11,1,ser,6,↧ indicativo pretérito ↧,11,1st_singular,yo,sí,,,,
1_6_21,1,ser,6,↧ indicativo pretérito ↧,21,2nd_singular,tú,siste,,,,
1_6_31,1,ser,6,↧ indicativo pretérito ↧,31,3rd_singular,él/ella,sió,,,,
1_6_12,1,ser,6,↧ indicativo pretérito ↧,12,1st_plural,nosotros,simos,,,,
1_6_32,1,ser,6,↧ indicativo pretérito ↧,32,3rd_plural,ellos/ellas,sieron,,,,
1_7_11,1,ser,7,→ indicativo futuro →,11,1st_singular,yo,seré,,,,
1_7_21,1,ser,7,→ indicativo futuro →,21,2nd_singular,tú,serás,,,,
1_7_31,1,ser,7,→ indicativo futuro →,31,3rd_singular,él/ella,será,,,,
1_7_12,1,ser,7,→ indicativo futuro →,12,1st_plural,nosotros,seremos,,,,
1_7_32,1,ser,7,→ indicativo futuro →,32,3rd_plural,ellos/ellas,serán,,,,
1_8_11,1,ser,8,◇ condicional ◇,11,1st_singular,yo,,,,,
1_8_21,1,ser,8,◇ condicional ◇,21,2nd_singular,tú,,,,,
1_8_31,1,ser,8,◇ condicional ◇,31,3rd_singular,él/ella,,,,,
1_8_12,1,ser,8,◇ condicional ◇,12,1st_plural,nosotros,,,,,
1_8_32,1,ser,8,◇ condicional ◇,32,3rd_plural,ellos/ellas,,,,,
1_9_11,1,ser,9,∿ subjuntivo presente ∿,11,1st_singular,yo,,,,,
1_9_21,1,ser,9,∿ subjuntivo presente ∿,21,2nd_singular,tú,,,,,
1_9_31,1,ser,9,∿ subjuntivo presente ∿,31,3rd_singular,él/ella,,,,,
1_9_12,1,ser,9,∿ subjuntivo presente ∿,12,1st_plural,nosotros,,,,,
1_9_32,1,ser,9,∿ subjuntivo presente ∿,32,3rd_plural,ellos/ellas,,,,,
1_10_11,1,ser,10,↫ subjuntivo imperfecto ↫,11,1st_singular,yo,,,,,
1_10_21,1,ser,10,↫ subjuntivo imperfecto ↫,21,2nd_singular,tú,,,,,
1_10_31,1,ser,10,↫ subjuntivo imperfecto ↫,31,3rd_singular,él/ella,,,,,
1_10_12,1,ser,10,↫ subjuntivo imperfecto ↫,12,1st_plural,nosotros,,,,,
1_10_32,1,ser,10,↫ subjuntivo imperfecto ↫,32,3rd_plural,ellos/ellas,,,,,
1_11_21,1,ser,11,¡ imperativo afirmativo !,21,2nd_singular,tú,,,,,
1_11_33,1,ser,11,¡ imperativo afirmativo !,33,2nd_singular_polite,usted,,,,,
1_11_12,1,ser,11,¡ imperativo afirmativo !,12,1st_plural,nosotros,,,,,
1_11_34,1,ser,11,¡ imperativo afirmativo !,34,2nd_plural_polite,ustedes,,,,,
1_12_21,1,ser,12,¡ imperativo negativo !,21,2nd_singular,tú,,,,,
1_12_33,1,ser,12,¡ imperativo negativo !,33,2nd_singular_polite,usted,,,,,
1_12_12,1,ser,12,¡ imperativo negativo !,12,1st_plural,nosotros,,,,,
1_12_34,1,ser,12,¡ imperativo negativo !,34,2nd_plural_polite,ustedes,,,,,
2_1_0,2,haber,1,infinitivo,0,NA,NA,haber,haber,TRUE,,
2_2_0,2,haber,2,gerundio,0,NA,NA,habiendo,,,,
2_3_0,2,haber,3,participio,0,NA,NA,habido,,,,
2_4_11,2,haber,4,⊙ indicativo presente ⊙,11,1st_singular,yo,habo,,,,
2_4_21,2,haber,4,⊙ indicativo presente ⊙,21,2nd_singular,tú,habes,,,,
2_4_31,2,haber,4,⊙ indicativo presente ⊙,31,3rd_singular,él/ella,habe,,,,
2_4_12,2,haber,4,⊙ indicativo presente ⊙,12,1st_plural,nosotros,habemos,,,,
2_4_32,2,haber,4,⊙ indicativo presente ⊙,32,3rd_plural,ellos/ellas,haben,,,,
2_5_11,2,haber,5,⇠ indicativo imperfecto ⇠,11,1st_singular,yo,había,,,,
2_5_21,2,haber,5,⇠ indicativo imperfecto ⇠,21,2nd_singular,tú,habías,,,,
2_5_31,2,haber,5,⇠ indicativo imperfecto ⇠,31,3rd_singular,él/ella,había,,,,
2_5_12,2,haber,5,⇠ indicativo imperfecto ⇠,12,1st_plural,nosotros,habíamos,,,,
2_5_32,2,haber,5,⇠ indicativo imperfecto ⇠,32,3rd_plural,ellos/ellas,habían,,,,
2_6_11,2,haber,6,↧ indicativo pretérito ↧,11,1st_singular,yo,habí,,,,
2_6_21,2,haber,6,↧ indicativo pretérito ↧,21,2nd_singular,tú,habiste,,,,
2_6_31,2,haber,6,↧ indicativo pretérito ↧,31,3rd_singular,él/ella,habió,,,,
2_6_12,2,haber,6,↧ indicativo pretérito ↧,12,1st_plural,nosotros,habimos,,,,
2_6_32,2,haber,6,↧ indicativo pretérito ↧,32,3rd_plural,ellos/ellas,habieron,,,,
2_7_11,2,haber,7,→ indicativo futuro →,11,1st_singular,yo,haberé,,,,
2_7_21,2,haber,7,→ indicativo futuro →,21,2nd_singular,tú,haberás,,,,
2_7_31,2,haber,7,→ indicativo futuro →,31,3rd_singular,él/ella,haberá,,,,
2_7_12,2,haber,7,→ indicativo futuro →,12,1st_plural,nosotros,haberemos,,,,
2_7_32,2,haber,7,→ indicativo futuro →,32,3rd_plural,ellos/ellas,haberán,,,,
2_8_11,2,haber,8,◇ condicional ◇,11,1st_singular,yo,,,,,
2_8_21,2,haber,8,◇ condicional ◇,21,2nd_singular,tú,,,,,
2_8_31,2,haber,8,◇ condicional ◇,31,3rd_singular,él/ella,,,,,
2_8_12,2,haber,8,◇ condicional ◇,12,1st_plural,nosotros,,,,,
2_8_32,2,haber,8,◇ condicional ◇,32,3rd_plural,ellos/ellas,,,,,
2_9_11,2,haber,9,∿ subjuntivo presente ∿,11,1st_singular,yo,,,,,
2_9_21,2,haber,9,∿ subjuntivo presente ∿,21,2nd_singular,tú,,,,,
2_9_31,2,haber,9,∿ subjuntivo presente ∿,31,3rd_singular,él/ella,,,,,
2_9_12,2,haber,9,∿ subjuntivo presente ∿,12,1st_plural,nosotros,,,,,
2_9_32,2,haber,9,∿ subjuntivo presente ∿,32,3rd_plural,ellos/ellas,,,,,
2_10_11,2,haber,10,↫ subjuntivo imperfecto ↫,11,1st_singular,yo,,,,,
2_10_21,2,haber,10,↫ subjuntivo imperfecto ↫,21,2nd_singular,tú,,,,,
2_10_31,2,haber,10,↫ subjuntivo imperfecto ↫,31,3rd_singular,él/ella,,,,,
2_10_12,2,haber,10,↫ subjuntivo imperfecto ↫,12,1st_plural,nosotros,,,,,
2_10_32,2,haber,10,↫ subjuntivo imperfecto ↫,32,3rd_plural,ellos/ellas,,,,,
2_11_21,2,haber,11,¡ imperativo afirmativo !,21,2nd_singular,tú,,,,,
2_11_33,2,haber,11,¡ imperativo afirmativo !,33,2nd_singular_polite,usted,,,,,
2_11_12,2,haber,11,¡ imperativo afirmativo !,12,1st_plural,nosotros,,,,,
2_11_34,2,haber,11,¡ imperativo afirmativo !,34,2nd_plural_polite,ustedes,,,,,
2_12_21,2,haber,12,¡ imperativo negativo !,21,2nd_singular,tú,,,,,
2_12_33,2,haber,12,¡ imperativo negativo !,33,2nd_singular_polite,usted,,,,,
2_12_12,2,haber,12,¡ imperativo negativo !,12,1st_plural,nosotros,,,,,
2_12_34,2,haber,12,¡ imperativo negativo !,34,2nd_plural_polite,ustedes,,,,,
3_1_0,3,estar,1,infinitivo,0,NA,NA,estar,estar,TRUE,,
3_2_0,3,estar,2,gerundio,0,NA,NA,estando,,,,
3_3_0,3,estar,3,participio,0,NA,NA,estado,,,,
3_4_11,3,estar,4,⊙ indicativo presente ⊙,11,1st_singular,yo,esto,,,,
3_4_21,3,estar,4,⊙ indicativo presente ⊙,21,2nd_singular,tú,estas,,,,
3_4_31,3,estar,4,⊙ indicativo presente ⊙,31,3rd_singular,él/ella,esta,,,,
3_4_12,3,estar,4,⊙ indicativo presente ⊙,12,1st_plural,nosotros,estamos,,,,
3_4_32,3,estar,4,⊙ indicativo presente ⊙,32,3rd_plural,ellos/ellas,estan,,,,
3_5_11,3,estar,5,⇠ indicativo imperfecto ⇠,11,1st_singular,yo,estaba,,,,
3_5_21,3,estar,5,⇠ indicativo imperfecto ⇠,21,2nd_singular,tú,estabas,,,,
3_5_31,3,estar,5,⇠ indicativo imperfecto ⇠,31,3rd_singular,él/ella,estaba,,,,
3_5_12,3,estar,5,⇠ indicativo imperfecto ⇠,12,1st_plural,nosotros,estábamos,,,,
3_5_32,3,estar,5,⇠ indicativo imperfecto ⇠,32,3rd_plural,ellos/ellas,estaban,,,,
3_6_11,3,estar,6,↧ indicativo pretérito ↧,11,1st_singular,yo,esté,,,,
3_6_21,3,estar,6,↧ indicativo pretérito ↧,21,2nd_singular,tú,estaste,,,,
3_6_31,3,estar,6,↧ indicativo pretérito ↧,31,3rd_singular,él/ella,estó,,,,
3_6_12,3,estar,6,↧ indicativo pretérito ↧,12,1st_plural,nosotros,estamos,,,,
3_6_32,3,estar,6,↧ indicativo pretérito ↧,32,3rd_plural,ellos/ellas,estaron,,,,
3_7_11,3,estar,7,→ indicativo futuro →,11,1st_singular,yo,estaré,,,,
3_7_21,3,estar,7,→ indicativo futuro →,21,2nd_singular,tú,estarás,,,,
3_7_31,3,estar,7,→ indicativo futuro →,31,3rd_singular,él/ella,estará,,,,
