verb,collocations
ser,[humano; necesario; posible; capaz; responsable; consciente; parte; útil; miembro; libre]
haber,[que; sido; estado; habido; hecho; tenido; podido; ocurrido; llegado; visto]
estar,[bien; mal; seguro; listo; dispuesto; en_casa; de_acuerdo; presente; ausente; enfermo]
tener,[miedo; razón; cuidado; ganas; tiempo; acceso; derecho; culpa; efecto; lugar]
hacer,[falta; caso; daño; ejercicio; preguntas; cola; referencia; ruido; cambios; sentido]
poder,[ser; hacer; ir; ver; llegar; decir; cambiar; ayudar; evitar; entender]
decir,[que; verdad; nada; algo; adiós; mentiras; nombre; palabras; frase; cierto]
ir,[a; de; con; bien; mal; lejos; camino; rápido; adelante; junto]
ver,[que; lo; televisión; película; claro; bien; mundo; gente; posibilidad; cara]
dar,[cuenta; gracias; lugar; ejemplo; paso; mano; vuelta; miedo; apoyo; luz]
saber,[qué; todo; nada; si; cómo; verdad; bien; quién; cuándo; dónde]
querer,[decir; ir; ser; saber; más; estar; venir; volver; todo; nada]
llegar,[a; ser; tiempo; casa; fin; acuerdo; tarde; meta; punto; límite]
pasar,[tiempo; nada; algo; bien; mal; por; página; lista; frente; cosas]
deber,[ser; hacer; tener; pagar; cumplir; existir; decir; estar; saber; acabar]
poner,[marcha; fin; práctica; atención; ejemplo; duda; énfasis; nombre; funcionamiento; pie]
parecer,[que; bien; mal; ser; haber; imposible; lógico; correcto; extraño; interesante]
quedar,[en; con; bien; mal; claro; pendiente; libre; atrás; corto; fuera]
creer,[que; en; nada; todo; verdad; Dios; posible; cierto; imposible; mentira]
hablar,[de; con; sobre; bien; mal; español; gente; teléfono; política; inglés]
llevar,[tiempo; ropa; a_cabo; razón; ventaja; adelante; puesto; encima; consigo; vida]
dejar,[de; que; en_paz; atrás; claro; caer; pasar; libre; huella; todo]
seguir,[siendo; adelante; igual; vivo; trabajando; buscando; creciendo; intentando; existiendo; estudiando]
encontrar,[que; con; nada; algo; solución; trabajo; respuesta; dificultades; camino; paz]
llamar,[atención; teléfono; nombre; casa; puerta; emergencia; cliente; policía; señor; hijo]
venir,[a; de; con; bien; mal; aquí; casa; pronto; acá; seguido]
pensar,[en; que; sobre; bien; mal; demasiado; esto; aquello; seriamente; claro]
salir,[a; de; bien; mal; adelante; casa; fiesta; tarde; luz; caro]
volver,[a; de; ser; casa; loco; ver; atrás; repetir; pronto; intentar]
tomar,[en_cuenta; asiento; café; decisión; nota; agua; control; tiempo; medidas; sol]
conocer,[a; gente; mundo; lugar; historia; persona; cultura; verdad; detalle; fondo]
vivir,[en; con; de; bien; mal; solo; juntos; experiencia; momento; realidad]
sentir,[que; bien; mal; dolor; miedo; frío; calor; amor; culpa; placer]
tratar,[de; con; sobre; bien; mal; tema; pacientes; datos; enfermedad; información]
mirar,[televisión; que; atrás; alrededor; bien; mal; lejos; arriba; abajo; reloj]
contar,[con; que; historia; chiste; dinero; hasta; números; ejemplo; secreto; detalle]
empezar,[a; por; con; de_nuevo; bien; mal; temprano; pronto; proyecto; proceso]
esperar,[que; a; por; nada; mucho; poco; turno; respuesta; paciente; tren]
buscar,[trabajo; ayuda; información; solución; camino; verdad; refugio; apoyo; aprobación; éxito]
existir,[en; una; no; sólo; dios; vida; posibilidad; diferencia; necesidad; opción]
entrar,[casa; en; tienda; clase; juego; vigor; detalles; escena; conflicto; pánico]
trabajar,[duro; en; con; para; horas; mano; equipo; proyecto; campo; bien]
escribir,[carta; libro; artículo; nombre; correo; poema; mensaje; historia; código; informe]
perder,[tiempo; dinero; peso; vida; control; oportunidad; vista; partido; cabeza; tren]
producir,[efecto; cambio; resultado; energía; bienes; sonido; impacto; película; fruto; beneficios]
ocurrir,[que; algo; nada; accidente; problema; idea; suceso; cambio; noche; casualidad]
entender,[que; bien; mal; nada; todo; problema; situación; idioma; razón; mensaje]
pedir,[ayuda; perdón; permiso; consejo; comida; dinero; favor; cita; información; explicaciones]
recibir,[carta; llamada; ayuda; apoyo; premio; visita; noticia; correo; pago; crítica]
recordar,[que; bien; siempre; nombre; algo; momento; infancia; tiempos; detalles; fiesta]
terminar,[con; de; en; proyecto; trabajo; relación; carrera; partido; pronto; todo]
permitir,[que; acceso; entrada; uso; paso; hacerlo; trabajar; crecer; jugar; cambiar]
aparecer,[en; pantalla; escena; lista; foto; prensa; repente; mercado; problema; sueño]
conseguir,[trabajo; dinero; información; permiso; objetivo; resultado; novio; entradas; victoria; recursos]
comenzar,[a; con; de_nuevo; bien; proyecto; carrera; fiesta; día; proceso; clase]
servir,[para; de; como; ejemplo; base; comida; bebida; mesa; propósito; ayuda]
sacar,[foto; dinero; provecho; tema; conclusiones; punta; nota; licencia; basura; adelante]
necesitar,[ayuda; tiempo; dinero; hacer; saber; cambiar; médico; descanso; permiso; espacio]
mantener,[calma; contacto; distancia; orden; control; equilibrio; vivo; relación; limpio; nivel]
resultar,[ser; que; en; difícil; útil; evidente; necesario; positivo; beneficioso; fatal]
leer,[libro; periódico; carta; novela; artículo; mensaje; revista; texto; cuento; etiqueta]
caer,[bien; mal; lluvia; encima; suelo; noche; gotas; manos; golpe; trampa]
cambiar,[opinión; vida; ropa; rumbo; tema; chip; paradigma; mundo; postura; actitud]
presentar,[informe; proyecto; propuesta; solicitud; queja; examen; programa; candidata; oferta; batalla]
crear,[empleo; valor; contenido; oportunidad; empresa; ambiente; arte; caos; cuenta; problemas]
abrir,[puerta; cuenta; camino; debate; archivo; mercado; fuego; ojos; boca; paso]
considerar,[que; necesario; importante; posible; opción; caso; ejemplo; válido; adecuado; problema]
oír,[ruido; voz; música; pasos; noticias; gritos; campanas; hablar; nada; todo]
acabar,[de; con; por; todo; tiempo; carrera; proyecto; problema; tarde; fin]
convertir,[en; realidad; moneda; líder; hábito; rutina; oportunidad; energía; problema; leyenda]
ganar,[dinero; tiempo; terreno; confianza; experiencia; respeto; guerra; premio; partido; peso]
formar,[parte; equipo; grupo; opinión; filas; coalición; comunidad; profesionales; ciudadanos; alianza]
traer,[consigo; problemas; suerte; recuerdos; noticias; regalos; comida; consecuencias; paz; lluvia]
