verb_id,verb,collocations
1,ser,[humano; necesario; posible; capaz; responsable; consciente; parte; útil; miembro; libre]
2,haber,[que; sido; estado; habido; hecho; tenido; podido; ocurrido; llegado; visto]
3,estar,[bien; mal; seguro; listo; dispuesto; en_casa; de_acuerdo; presente; ausente; enfermo]
4,tener,[miedo; razón; cuidado; ganas; tiempo; acceso; derecho; culpa; efecto; lugar]
5,hacer,[falta; caso; daño; ejercicio; preguntas; cola; referencia; ruido; cambios; sentido]
6,poder,[ser; hacer; ir; ver; llegar; decir; cambiar; ayudar; evitar; entender]
7,decir,[que; verdad; nada; algo; adiós; mentiras; nombre; palabras; frase; cierto]
8,ir,[a; de; con; bien; mal; lejos; camino; rápido; adelante; junto]
9,ver,[que; lo; televisión; película; claro; bien; mundo; gente; posibilidad; cara]
10,dar,[cuenta; gracias; lugar; ejemplo; paso; mano; vuelta; miedo; apoyo; luz]
11,saber,[qué; todo; nada; si; cómo; verdad; bien; quién; cuándo; dónde]
12,querer,[decir; ir; ser; saber; más; estar; venir; volver; todo; nada]
13,llegar,[a; ser; tiempo; casa; fin; acuerdo; tarde; meta; punto; límite]
14,pasar,[tiempo; nada; algo; bien; mal; por; página; lista; frente; cosas]
15,deber,[ser; hacer; tener; pagar; cumplir; existir; decir; estar; saber; acabar]
16,poner,[marcha; fin; práctica; atención; ejemplo; duda; énfasis; nombre; funcionamiento; pie]
17,parecer,[que; bien; mal; ser; haber; imposible; lógico; correcto; extraño; interesante]
18,quedar,[en; con; bien; mal; claro; pendiente; libre; atrás; corto; fuera]
19,creer,[que; en; nada; todo; verdad; Dios; posible; cierto; imposible; mentira]
20,hablar,[de; con; sobre; bien; mal; español; gente; teléfono; política; inglés]
21,llevar,[tiempo; ropa; a_cabo; razón; ventaja; adelante; puesto; encima; consigo; vida]
22,dejar,[de; que; en_paz; atrás; claro; caer; pasar; libre; huella; todo]
23,seguir,[siendo; adelante; igual; vivo; trabajando; buscando; creciendo; intentando; existiendo; estudiando]
24,encontrar,[que; con; nada; algo; solución; trabajo; respuesta; dificultades; camino; paz]
25,llamar,[atención; teléfono; nombre; casa; puerta; emergencia; cliente; policía; señor; hijo]
26,venir,[a; de; con; bien; mal; aquí; casa; pronto; acá; seguido]
27,pensar,[en; que; sobre; bien; mal; demasiado; esto; aquello; seriamente; claro]
28,salir,[a; de; bien; mal; adelante; casa; fiesta; tarde; luz; caro]
29,volver,[a; de; ser; casa; loco; ver; atrás; repetir; pronto; intentar]
30,tomar,[en_cuenta; asiento; café; decisión; nota; agua; control; tiempo; medidas; sol]
31,conocer,[a; gente; mundo; lugar; historia; persona; cultura; verdad; detalle; fondo]
32,vivir,[en; con; de; bien; mal; solo; juntos; experiencia; momento; realidad]
33,sentir,[que; bien; mal; dolor; miedo; frío; calor; amor; culpa; placer]
34,tratar,[de; con; sobre; bien; mal; tema; pacientes; datos; enfermedad; información]
35,mirar,[televisión; que; atrás; alrededor; bien; mal; lejos; arriba; abajo; reloj]
36,contar,[con; que; historia; chiste; dinero; hasta; números; ejemplo; secreto; detalle]
37,empezar,[a; por; con; de_nuevo; bien; mal; temprano; pronto; proyecto; proceso]
38,esperar,[que; a; por; nada; mucho; poco; turno; respuesta; paciente; tren]
39,buscar,[trabajo; ayuda; información; solución; camino; verdad; refugio; apoyo; aprobación; éxito]
40,existir,[en; una; no; sólo; dios; vida; posibilidad; diferencia; necesidad; opción]
41,entrar,[casa; en; tienda; clase; juego; vigor; detalles; escena; conflicto; pánico]
42,trabajar,[duro; en; con; para; horas; mano; equipo; proyecto; campo; bien]
43,escribir,[carta; libro; artículo; nombre; correo; poema; mensaje; historia; código; informe]
44,perder,[tiempo; dinero; peso; vida; control; oportunidad; vista; partido; cabeza; tren]
45,producir,[efecto; cambio; resultado; energía; bienes; sonido; impacto; película; fruto; beneficios]
46,ocurrir,[que; algo; nada; accidente; problema; idea; suceso; cambio; noche; casualidad]
47,entender,[que; bien; mal; nada; todo; problema; situación; idioma; razón; mensaje]
48,pedir,[ayuda; perdón; permiso; consejo; comida; dinero; favor; cita; información; explicaciones]
49,recibir,[carta; llamada; ayuda; apoyo; premio; visita; noticia; correo; pago; crítica]
50,recordar,[que; bien; siempre; nombre; algo; momento; infancia; tiempos; detalles; fiesta]
51,terminar,[con; de; en; proyecto; trabajo; relación; carrera; partido; pronto; todo]
52,permitir,[que; acceso; entrada; uso; paso; hacerlo; trabajar; crecer; jugar; cambiar]
53,aparecer,[en; pantalla; escena; lista; foto; prensa; repente; mercado; problema; sueño]
54,conseguir,[trabajo; dinero; información; permiso; objetivo; resultado; novio; entradas; victoria; recursos]
55,comenzar,[a; con; de_nuevo; bien; proyecto; carrera; fiesta; día; proceso; clase]
56,servir,[para; de; como; ejemplo; base; comida; bebida; mesa; propósito; ayuda]
57,sacar,[foto; dinero; provecho; tema; conclusiones; punta; nota; licencia; basura; adelante]
58,necesitar,[ayuda; tiempo; dinero; hacer; saber; cambiar; médico; descanso; permiso; espacio]
59,mantener,[calma; contacto; distancia; orden; control; equilibrio; vivo; relación; limpio; nivel]
60,resultar,[ser; que; en; difícil; útil; evidente; necesario; positivo; beneficioso; fatal]
61,leer,[libro; periódico; carta; novela; artículo; mensaje; revista; texto; cuento; etiqueta]
62,caer,[bien; mal; lluvia; encima; suelo; noche; gotas; manos; golpe; trampa]
63,cambiar,[opinión; vida; ropa; rumbo; tema; chip; paradigma; mundo; postura; actitud]
64,presentar,[informe; proyecto; propuesta; solicitud; queja; examen; programa; candidata; oferta; batalla]
65,crear,[empleo; valor; contenido; oportunidad; empresa; ambiente; arte; caos; cuenta; problemas]
66,abrir,[puerta; cuenta; camino; debate; archivo; mercado; fuego; ojos; boca; paso]
67,considerar,[que; necesario; importante; posible; opción; caso; ejemplo; válido; adecuado; problema]
